Key,Status,Labels,Fix Version/s,Issue Type,? Original Estimate,Priority,Sprint,Due Date,Created,QA Due Date
MCPU-13945,,TEAM_BEAUJOLAIS,PU9.0,Bug,,Blocker,,,19/07/2018 11:45,
MCPU-13944,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Blocker,,,19/07/2018 11:35,
MCPU-13937,New Bug,"RequiredForConformance, TEAM_BEAUJOLAIS",PU9.0,Bug,,Critical,,20-Jul-18,19/07/2018 09:05,
MCPU-13929,New Bug,"Blocker_For_Conformance, TEAM_BEAUJOLAIS",PU9.0,Bug,,Blocker,,,18/07/2018 21:24,
MCPU-13926,New Bug,"Blocker_for_PreProd, NEW_TRADE_PROCESSING, PROD-DATA-SIMULATION, TEAM_BEAUJOLAIS, TRADESERV",PU9.0,Bug,,Critical,,,18/07/2018 17:26,
MCPU-13921,New Bug,"AMENDMENT_PROCESSING, Blocker_for_TIW_Env, EXERCISE, TEAM_REGSERV, TIW_INTEGRATION, TRADESERV",PU9.0,Bug,28800,Blocker,,16-Jul-18,18/07/2018 16:07,
MCPU-13916,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,18/07/2018 11:34,
MCPU-13915,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Blocker,,,18/07/2018 11:03,
MCPU-13914,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Minor,,,18/07/2018 10:35,
MCPU-13913,New Bug,TEAM_BEAUJOLAIS,PU8.0,Bug,,Critical,,28-Jun-18,18/07/2018 09:39,
MCPU-13912,New Bug,"GUI, TEAM_BEAUJOLAIS",PU9.0,Bug,,Major,,,18/07/2018 09:33,
MCPU-13910,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,18/07/2018 08:38,
MCPU-13908,New Bug,"GUI, TEAM_LOIRE",PU9.0,Bug,,Minor,CreditUI-Sprint28,,18/07/2018 07:57,
MCPU-13907,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,18/07/2018 06:29,
MCPU-13905,New Bug,"PriorityForQA, TEAM_ALSACE",PU10.0,Bug,,Major,,,18/07/2018 03:25,
MCPU-13886,Closed - Complete,"NEW_TRADE_PROCESSING, TRADESERV, MISC",PU9.0,Bug,,Major,,,17/07/2018 18:41,29-Jun-18
MCPU-13880,New Bug,TEAM_LOIRE,PU9.0,Bug,,Minor,,,17/07/2018 14:38,
MCPU-13879,New Bug,"Blocker_for_TIW_Env, NEW_TRADE_PROCESSING, REQUIREMENT_GAP, TEAM_BEAUJOLAIS, TIW_INTEGRATION, TRADESERV",PU8.0,Bug,,Major,,,17/07/2018 14:38,
MCPU-13874,New Bug,TEAM_LOIRE,PU9.0,Bug,,Minor,,,17/07/2018 13:48,
MCPU-13872,New Bug,TEAM_LOIRE,PU9.0,Bug,,Major,,,17/07/2018 13:32,
MCPU-13863,Closed - Complete,"RequiredForConformance, TEAM_BEAUJOLAIS",PU9.0,Bug,0,Critical,,20-Jul-18,17/07/2018 11:22,
MCPU-13850,New Bug,"QA, TEAM_BEAUJOLAIS",PU9.0,Bug,,Major,CreditUI-Sprint28,,17/07/2018 09:29,
MCPU-13845,Development Backlog,TEAM_REGSERV,PU8.0,Bug,,Blocker,CreditRegserv-Sprint-28,19-Jul-18,17/07/2018 09:05,
MCPU-13843,In QA,"Blocker_for_TIW_Env, TEAM_BEAUJOLAIS",PU9.0,Bug,,Blocker,,18-Jul-18,17/07/2018 08:14,
MCPU-13802,New Bug,TEAM_LOIRE,PU8.0,Bug,,Minor,,,16/07/2018 13:14,
MCPU-13800,New Bug,TEAM_REGSERV,PU9.0,Bug,,Blocker,,,16/07/2018 10:34,
MCPU-13799,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,16/07/2018 10:04,
MCPU-13798,New Bug,"Blocker_For_Conformance, TEAM_BEAUJOLAIS",PU9.0,Bug,,Blocker,,,16/07/2018 09:52,
MCPU-13797,Closed - Complete,"Blocker_For_Conformance, ENVIRONMENT_BUG, TEAM_REGSERV",PU9.0,Bug,,Critical,,,16/07/2018 09:46,
MCPU-13796,New Bug,"QA_Environment_Blocker, MISC",PU9.0,Bug,,Blocker,,,16/07/2018 09:17,
MCPU-13793,Bug Backlog,"QABuild_Issue, TEAM_BEAUJOLAIS",PU9.0,Bug,,Critical,,,16/07/2018 08:33,
MCPU-13792,Closed - Complete,"Blocker_for_TIW_Env, MISC",PU9.0,Bug,,Critical,,,16/07/2018 08:19,
MCPU-13789,Development Approved,"QABuild_Issue, MISC",PU9.0,Bug,,Blocker,,,16/07/2018 07:31,
MCPU-13783,New Bug,"GTR_INTEGRATION, GTR_TRADESERV_REVIEW, REGIME_CFTC, TEAM_REGSERV, TRADESERV",PU9.0,Bug,,Blocker,,,13/07/2018 18:26,
MCPU-13780,New Bug,"Blocker_for_PreProd, NEW_TRADE_PROCESSING, PROD-DATA-SIMULATION, TEAM_BEAUJOLAIS, TRADESERV",PU9.0,Bug,,Blocker,,,13/07/2018 14:40,
MCPU-13776,In QA,"GUI, TEAM_LOIRE",PU9.0,Bug,,Minor,,,13/07/2018 11:58,
MCPU-13775,Closed - Complete,"QABuild_Issue, MISC",PU9.0,Bug,,Critical,,,13/07/2018 11:30,
MCPU-13774,In Development,"GUI, TEAM_LOIRE",PU9.0,Bug,,Major,CreditUI-Sprint28,,13/07/2018 11:09,
MCPU-13771,Closed - Complete,"Blocker_For_Conformance, PriorityForQA, RequiredForConformance, MISC",PU10.0,Bug,,Minor,,,13/07/2018 09:54,
MCPU-13765,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Minor,,,13/07/2018 04:39,
MCPU-13764,In QA,"PriorityForQA, RequiredForConformance, TEAM_LOIRE",PU10.0,Bug,,Critical,,,13/07/2018 03:10,
MCPU-13763,New Bug,"PrioirtyforQA, RequiredForConformance, TEAM_LOIRE",PU10.0,Bug,,Critical,,,13/07/2018 02:52,
